"Contour Data = Velocity Magnitude mm/s"
"C:\Users\sk\Google Диск\sc\2021\kerch_082021\ADCP300\BS21_000.000"
"Broadband 307.2 kHz"
"Pings/Ens ="	50
"Time/Ping = 00:24.00"
"First Ensemble Date = 21/08/09"
"First Ensemble Time = 15:01:34.23"
"Ensemble Interval (s) = "	1200,00
"1st Bin Range (m) = "	2,74
"Bin Size (m) ="	0,50

Ens	YR	MO	DA	HH	MM	SS	HH		1	2	3	4	5	6	7	8	9


9	21	08	09	15	01	34	23		187	101	533	290	168	161	284	200	245
10	21	08	09	15	21	34	23		97	129	55	140	191	75	82	353	179
11	21	08	09	15	41	34	23		154	128	201	161	129	62	206	118	87
12	21	08	09	16	01	34	23		72	165	191	134	137	42	73	80	467
13	21	08	09	16	21	34	23		68	93	107	44	154	166	129	121	170
14	21	08	09	16	41	34	23		222	256	64	67	198	112	99	102	234
15	21	08	09	17	01	34	23		289	161	17	122	35	132	22	297	150
16	21	08	09	17	21	34	23		188	147	99	30	140	36	67	26	301
17	21	08	09	17	41	34	23		64	201	209	129	100	252	151	78	192
18	21	08	09	18	01	34	23		143	97	107	81	46	178	198	310	63
19	21	08	09	18	21	34	23		169	148	284	51	56	67	88	31	320
20	21	08	09	18	41	34	23		150	169	120	83	103	15	18	157	270
21	21	08	09	19	01	34	23		193	121	231	139	220	122	78	52	337
22	21	08	09	19	21	34	23		328	93	26	45	105	13	133	72	222
23	21	08	09	19	41	34	23		104	144	129	166	118	201	175	59	273
24	21	08	09	20	01	34	23		138	83	117	67	89	50	41	200	115
25	21	08	09	20	21	34	23		120	53	53	44	210	100	106	41	250
26	21	08	09	20	41	34	23		214	61	74	148	128	116	277	156	322
27	21	08	09	21	01	34	23		30	298	68	87	195	114	249	182	322
28	21	08	09	21	21	34	23		99	44	203	99	83	157	325	178	109
29	21	08	09	21	41	34	23		59	143	98	170	100	116	230	102	257
30	21	08	09	22	01	34	23		199	91	188	100	62	121	280	157	157
31	21	08	09	22	21	34	23		161	199	37	128	179	36	28	94	57
32	21	08	09	22	41	34	23		385	253	184	147	244	110	68	87	218
33	21	08	09	23	01	34	23		220	332	187	30	39	194	132	191	232
34	21	08	09	23	21	34	23		216	302	303	347	138	116	33	97	273
35	21	08	09	23	41	34	23		75	93	264	167	209	99	134	212	245
36	21	08	10	00	01	34	23		161	237	222	259	120	204	111	124	98
37	21	08	10	00	21	34	23		187	136	94	61	208	36	90	117	401
38	21	08	10	00	41	34	23		178	197	120	340	115	201	120	101	194
39	21	08	10	01	01	34	23		225	96	185	259	148	103	43	198	265
40	21	08	10	01	21	34	23		215	138	170	156	140	108	50	84	138
41	21	08	10	01	41	34	23		117	290	172	133	70	118	92	112	273
42	21	08	10	02	01	34	23		114	299	238	113	95	118	138	81	171
43	21	08	10	02	21	34	23		182	92	293	78	25	107	65	108	115
44	21	08	10	02	41	34	23		159	151	310	183	221	150	102	218	209
45	21	08	10	03	01	34	23		152	237	195	140	28	176	66	304	295
46	21	08	10	03	21	34	23		266	215	114	223	85	103	140	196	269
47	21	08	10	03	41	34	23		222	158	276	185	132	135	241	183	71
48	21	08	10	04	01	34	23		187	167	138	129	167	110	86	174	278
