"Contour Data = Velocity Direction degrees"
"C:\Users\sk\Google Диск\sc\2021\kerch_082021\ADCP300\BS21_000.000"
"Broadband 307.2 kHz"
"Pings/Ens ="	50
"Time/Ping = 00:24.00"
"First Ensemble Date = 21/08/09"
"First Ensemble Time = 15:01:34.23"
"Ensemble Interval (s) = "	1200,00
"1st Bin Range (m) = "	2,74
"Bin Size (m) ="	0,50

Ens	YR	MO	DA	HH	MM	SS	HH		1	2	3	4	5	6	7	8	9


9	21	08	09	15	01	34	23		230,4	22,8	40,4	60,9	155,0	339,7	218,8	301,1	296,1
10	21	08	09	15	21	34	23		7,7	93,1	130,6	185,3	51,2	198,7	24,4	23,0	67,3
11	21	08	09	15	41	34	23		45,5	25,0	255,3	78,9	357,8	41,1	318,9	41,9	357,4
12	21	08	09	16	01	34	23		352,8	25,9	6,3	1,7	300,7	316,9	134,4	25,3	30,2
13	21	08	09	16	21	34	23		33,0	86,9	47,7	276,5	329,6	38,9	10,7	30,2	352,9
14	21	08	09	16	41	34	23		356,1	357,8	35,4	234,2	339,3	325,2	308,0	355,0	335,5
15	21	08	09	17	01	34	23		55,0	327,7	23,6	95,7	94,9	27,5	0,0	3,3	127,9
16	21	08	09	17	21	34	23		80,2	309,2	310,9	242,6	176,7	26,6	258,9	4,4	170,0
17	21	08	09	17	41	34	23		333,0	19,8	38,2	334,2	341,9	359,1	38,8	16,3	289,8
18	21	08	09	18	01	34	23		353,2	320,0	23,2	350,8	285,3	12,3	355,4	328,5	78,2
19	21	08	09	18	21	34	23		51,2	353,8	6,5	332,9	241,1	347,0	212,4	39,8	1,3
20	21	08	09	18	41	34	23		359,6	343,5	327,2	335,0	34,3	168,7	123,7	342,6	195,3
21	21	08	09	19	01	34	23		42,5	38,3	13,3	357,5	355,8	66,4	73,0	280,0	313,2
22	21	08	09	19	21	34	23		3,7	346,3	162,3	273,8	29,7	13,0	52,0	300,1	248,9
23	21	08	09	19	41	34	23		332,4	4,4	15,8	58,3	32,2	346,8	337,1	298,3	111,3
24	21	08	09	20	01	34	23		310,6	18,9	344,7	340,8	341,0	80,7	65,3	346,7	79,5
25	21	08	09	20	21	34	23		31,0	8,7	236,6	301,9	78,7	248,3	171,9	21,5	302,4
26	21	08	09	20	41	34	23		237,2	342,8	269,2	239,1	186,7	219,0	203,6	213,5	323,8
27	21	08	09	21	01	34	23		11,7	303,4	180,8	212,8	234,0	219,3	253,7	169,9	263,1
28	21	08	09	21	21	34	23		2,9	350,8	3,9	221,7	261,0	208,0	130,8	175,5	229,9
29	21	08	09	21	41	34	23		81,2	15,4	17,9	87,3	95,8	171,6	72,5	147,9	134,4
30	21	08	09	22	01	34	23		21,3	3,1	28,2	19,9	181,8	55,4	83,8	99,2	217,7
31	21	08	09	22	21	34	23		30,5	38,3	145,0	37,7	58,7	104,4	73,5	95,5	240,8
32	21	08	09	22	41	34	23		13,8	25,2	22,4	42,5	42,8	12,6	25,1	92,6	12,2
33	21	08	09	23	01	34	23		5,0	26,6	39,8	143,1	357,1	345,0	2,6	60,5	353,8
34	21	08	09	23	21	34	23		39,7	19,8	44,6	36,2	70,5	148,4	95,2	128,8	71,4
