Seaguard RCM DW
Product number:	4451
Serial number:	184

		System Parameters(0)				Conductivity #517(517)		DCS #352(352)													Pressure #363(363)		Temperature #318(318)	Depth and Salinity(Virtual)(0)
Record	Time tag (Gmt)	Battery Voltage(V)	Memory Used(Bytes)	Last Interval(ms)	Time Correction(ms)	Conductivity(mS/cm)	Temperature(Deg.C)	Abs Speed(cm/s)	Direction(Deg.M)	North(cm/s)	East(cm/s)	Heading(Deg.M)	Tilt X(Deg)	Tilt Y(Deg)	SP Std(cm/s)	Strength(dB)	Ping Count	Abs Tilt(Deg)	Max Tilt(Deg)	Std Tilt(Deg)	Pressure(kPa)	Temperature(DegC)	Temperature(DegC)	Depth(m)	Salinity(PSU)	Density(kg/m^3)	Latitude(Deg)	Air Pressure(kPa)
0	09.08.21 14:03:58	8.976	9416704	1798793	0.000	0.014	29.450	40.449	349.224	39.736	-7.563	218.672	38.827	32.851	106.971	-64.979	50	63.999	80.001	28.547	98.128	29.556	29.848	-0.315	0.016	995.708	44.000	101.300
1	09.08.21 14:33:58	8.969	9433088	1798992	0.000	0.013	30.376	21.666	354.269	21.557	-2.163	215.192	46.279	42.505	98.598	-69.448	50	78.198	80.558	1.046	98.277	30.522	30.663	-0.300	0.016	995.460	44.000	101.300
2	09.08.21 15:03:58	8.963	9433088	1798994	0.000	0.014	31.271	35.112	42.722	25.795	23.822	34.626	42.504	46.249	114.428	-69.350	50	78.886	84.626	2.068	98.396	31.272	31.631	-0.288	0.017	995.159	44.000	101.300
3	09.08.21 15:33:58	8.976	9437184	1798994	0.000	0.013	32.148	50.487	166.926	-49.178	11.421	34.043	41.469	47.278	116.833	-69.368	50	78.873	80.874	1.084	98.512	32.149	32.397	-0.277	0.017	994.914	44.000	101.300
4	09.08.21 16:03:58	8.976	9437184	1798994	0.000	0.012	32.755	38.023	11.125	37.309	7.336	33.769	41.464	47.292	101.436	-69.380	50	78.886	80.534	0.772	98.523	32.719	33.057	-0.275	0.016	994.699	44.000	101.300
5	09.08.21 16:33:58	8.976	9437184	1798994	0.000	0.010	33.706	29.968	16.129	28.788	8.325	33.540	41.844	46.926	120.615	-69.343	50	78.895	80.502	0.943	98.719	33.617	34.026	-0.256	0.016	994.378	44.000	101.300
6	09.08.21 17:03:58	8.982	9437184	1798994	0.000	0.010	33.775	23.363	344.267	22.488	-6.335	11.428	41.448	47.163	115.384	-69.366	50	78.909	90.000	4.434	98.768	33.513	33.166	-0.251	0.016	994.663	44.000	101.300
7	09.08.21 17:33:58	8.976	9437184	1798994	0.000	0.013	31.506	18.934	75.668	4.687	18.345	48.680	41.726	47.614	117.967	-69.319	50	82.202	90.000	6.558	98.611	31.116	31.229	-0.267	0.016	995.285	44.000	101.300
8	09.08.21 18:03:58	8.969	9437184	1798994	0.000	0.014	30.775	33.564	291.915	12.527	-31.139	80.646	41.065	48.499	105.630	-69.404	50	82.345	90.000	8.425	98.513	30.622	30.694	-0.276	0.017	995.451	44.000	101.300
9	09.08.21 18:33:58	8.946	9437184	1798994	0.000	0.014	29.004	36.103	333.999	32.449	-15.827	305.737	-19.517	-51.754	110.848	-69.350	50	83.357	90.000	8.741	98.300	28.491	28.824	-0.298	0.016	996.011	44.000	101.300
10	09.08.21 19:03:58	8.928	9437184	1798993	0.000	0.067	27.514	3.873	249.720	-1.342	-3.633	320.298	-24.252	-55.778	93.221	-66.796	50	75.416	90.000	24.331	98.233	27.235	27.301	-0.304	0.036	996.460	44.000	101.300
11	09.08.21 19:33:58	8.922	9437184	1798994	0.000	30.192	26.406	9.791	153.404	-8.755	4.384	358.542	0.008	1.536	6.563	-28.556	50	2.997	82.202	11.468	159.488	26.419	26.429	5.772	18.131	1010.263	44.000	101.300
12	09.08.21 20:03:58	8.922	9437184	1798993	0.000	30.185	26.457	9.089	125.679	-5.301	7.383	6.963	0.636	0.418	4.772	-29.072	50	1.523	4.080	0.820	159.520	26.439	26.447	5.775	18.120	1010.250	44.000	101.300
13	09.08.21 20:33:58	8.910	9437184	1798994	0.000	30.171	26.409	9.757	125.423	-5.655	7.951	10.848	0.956	0.388	4.571	-28.915	50	1.605	4.195	1.124	159.560	26.410	26.413	5.779	18.124	1010.262	44.000	101.300
14	09.08.21 21:03:58	8.922	9437184	1798994	0.000	30.178	26.472	8.646	124.770	-4.931	7.102	10.270	1.205	0.306	4.398	-28.348	50	1.779	4.845	1.173	159.524	26.476	26.480	5.776	18.102	1010.226	44.000	101.300
15	09.08.21 21:33:58	8.922	9437184	1798994	0.000	30.223	26.534	9.552	131.498	-6.329	7.154	11.983	0.797	0.345	4.933	-29.404	50	1.392	3.933	0.891	159.399	26.538	26.544	5.763	18.107	1010.211	44.000	101.300
16	09.08.21 22:03:58	8.910	9437184	1798994	0.000	30.314	26.611	8.491	137.103	-6.221	5.780	11.802	1.043	0.315	4.533	-28.835	50	1.677	4.519	1.164	159.782	26.654	26.691	5.801	18.110	1010.170	44.000	101.300
17	09.08.21 22:33:58	8.922	9437184	1798994	0.000	30.331	26.758	8.452	125.865	-4.952	6.849	12.520	1.139	0.336	5.075	-29.008	50	1.755	4.263	0.958	160.178	26.753	26.748	5.840	18.099	1010.145	44.000	101.300
18	09.08.21 23:03:58	8.917	9437184	1798994	0.000	30.379	26.747	9.352	121.459	-4.881	7.978	12.702	0.872	0.455	4.809	-28.789	50	1.733	4.347	1.093	159.742	26.795	26.820	5.797	18.103	1010.127	44.000	101.300
