"Contour Data = Velocity Direction degrees"
"C:\Users\sk\Google Диск\sc\2021\kerch_082021\DVS\DVS1.pd0"
"Broadband 2457.6 kHz"
"Pings/Ens ="	1
"Time/Ping = 00:04.00"
"First Ensemble Date = 00/01/01"
"First Ensemble Time = 01:44:09.00"
"Ensemble Interval (s) = "	0,00
"1st Bin Range (m) = "	1,32
"Bin Size (m) ="	1,00

Ens	YR	MO	DA	HH	MM	SS	HH		1	2	3	4	5



21	21	08	09	20	42	48	00		87,6	111,0	115,5	118,4	114,3
22	21	08	09	21	02	48	00		113,9	131,0	127,1	122,1	131,3
23	21	08	09	21	22	48	00		74,2	84,2	85,4	81,2	89,3
24	21	08	09	21	42	48	00		94,6	103,2	102,7	96,6	109,0
25	21	08	09	22	02	48	00		147,6	146,7	147,1	144,5	142,8
26	21	08	09	22	22	48	00		165,5	161,8	166,7	168,6	167,1
27	21	08	09	22	42	48	00		79,6	87,4	82,9	93,4	72,0
28	21	08	09	23	02	48	00		149,6	145,0	141,8	137,3	154,9
29	21	08	09	23	22	48	00		91,8	90,6	89,4	84,5	80,5
30	21	08	09	23	42	48	00		98,6	101,6	86,6	83,4	94,1
31	21	08	10	00	02	48	00		92,8	91,8	93,0	93,1	100,3
32	21	08	10	00	22	48	00		122,0	124,1	119,6	114,4	114,8
33	21	08	10	00	42	48	00		90,7	86,6	89,3	92,3	88,4
34	21	08	10	01	02	48	00		76,1	85,2	83,0	81,2	94,8
35	21	08	10	01	22	49	00		101,4	101,1	101,3	110,8	99,8
36	21	08	10	01	42	49	00		60,9	50,6	50,7	43,7	59,5
37	21	08	10	02	02	49	00		95,8	94,1	97,8	101,8	100,0
38	21	08	10	02	22	49	00		79,4	75,5	76,6	73,7	79,5
39	21	08	10	02	42	49	00		103,6	120,5	96,1	118,1	108,7
40	21	08	10	03	02	49	00		71,0	64,3	66,3	83,0	70,5
41	21	08	10	03	22	49	00		339,0	24,8	19,0	3,7	333,4
42	21	08	10	03	42	49	00		127,2	123,1	159,8	135,0	180,0
43	21	08	10	04	02	49	00		61,3	64,2	53,5	57,5	57,4
44	21	08	10	04	22	49	00		94,4	100,9	75,6	124,2	93,6
45	21	08	10	04	42	49	00		88,4	85,8	91,1	95,1	82,0
46	21	08	10	05	02	49	00		78,3	76,7	80,3	75,6	106,9
47	21	08	10	05	22	49	00		97,1	99,5	83,7	78,1	91,7
48	21	08	10	05	42	49	00		123,4	130,3	124,0	126,0	128,1
49	21	08	10	06	02	49	00		72,0	97,7	96,3	106,7	114,0
50	21	08	10	06	22	49	00		29,2	28,6	46,0	33,2	353,7
51	21	08	10	06	42	49	00		106,6	94,1	95,2	110,7	102,7
52	21	08	10	07	02	49	00		341,6	11,9	19,3	45,0	30,6
53	21	08	10	07	22	49	00		290,0	293,2	296,6	309,8	277,6
54	21	08	10	07	42	49	00		336,4	296,6	325,1	350,2	4,2
55	21	08	10	08	02	49	00		55,0	45,0	213,7	347,9	331,4
56	21	08	10	08	22	49	00		19,1	12,8	30,8	18,1	38,9
57	21	08	10	08	42	49	00		239,0	186,7	180,0	151,4	149,6
58	21	08	10	09	02	49	00		139,2	137,5	162,6	115,2	159,4
