"Contour Data = Velocity Magnitude mm/s"
"C:\Users\sk\Google Диск\sc\2021\kerch_082021\DVS\DVS1.pd0"
"Broadband 2457.6 kHz"
"Pings/Ens ="	1
"Time/Ping = 00:04.00"
"First Ensemble Date = 00/01/01"
"First Ensemble Time = 01:44:09.00"
"Ensemble Interval (s) = "	0,00
"1st Bin Range (m) = "	1,32
"Bin Size (m) ="	1,00

Ens	YR	MO	DA	HH	MM	SS	HH		1	2	3	4	5



21	21	08	09	20	42	48	00		47	56	49	57	46
22	21	08	09	21	02	48	00		67	72	61	70	76
23	21	08	09	21	22	48	00		96	99	99	91	82
24	21	08	09	21	42	48	00		100	97	91	96	89
25	21	08	09	22	02	48	00		75	84	77	86	78
26	21	08	09	22	22	48	00		96	86	91	81	108
27	21	08	09	22	42	48	00		88	89	81	85	78
28	21	08	09	23	02	48	00		81	82	84	88	71
29	21	08	09	23	22	48	00		98	98	91	103	103
30	21	08	09	23	42	48	00		74	75	68	79	70
31	21	08	10	00	02	48	00		102	95	96	92	89
32	21	08	10	00	22	48	00		113	116	101	116	102
33	21	08	10	00	42	48	00		82	83	86	76	71
34	21	08	10	01	02	48	00		88	84	82	91	72
35	21	08	10	01	22	49	00		121	114	122	121	106
36	21	08	10	01	42	49	00		72	72	79	61	65
37	21	08	10	02	02	49	00		79	83	81	88	86
38	21	08	10	02	22	49	00		98	88	95	75	87
39	21	08	10	02	42	49	00		64	65	65	66	59
40	21	08	10	03	02	49	00		68	60	55	57	51
41	21	08	10	03	22	49	00		28	29	34	31	22
42	21	08	10	03	42	49	00		31	27	20	21	37
43	21	08	10	04	02	49	00		71	67	57	52	43
44	21	08	10	04	22	49	00		26	26	36	34	32
45	21	08	10	04	42	49	00		72	68	54	56	58
46	21	08	10	05	02	49	00		54	39	42	40	83
47	21	08	10	05	22	49	00		24	24	27	19	33
48	21	08	10	05	42	49	00		56	43	52	63	65
49	21	08	10	06	02	49	00		39	37	36	42	30
50	21	08	10	06	22	49	00		29	25	39	31	18
51	21	08	10	06	42	49	00		39	28	33	48	32
52	21	08	10	07	02	49	00		13	19	21	1	26
53	21	08	10	07	22	49	00		23	15	13	8	45
54	21	08	10	07	42	49	00		17	22	40	29	41
55	21	08	10	08	02	49	00		12	10	4	14	13
56	21	08	10	08	22	49	00		76	81	61	52	46
57	21	08	10	08	42	49	00		6	17	24	25	34
58	21	08	10	09	02	49	00		29	16	17	19	9
59	21	08	10	09	22	49	00		24	13	18	30	34
60	21	08	10	09	42	49	00		27	18	29	32	32
61	21	08	10	10	02	49	00		35	33	30	36	57
62	21	08	10	10	22	49	00		56	39	41	24	16
63	21	08	10	10	42	49	00		48	32	29	22	42
64	21	08	10	11	02	49	00		29	24	26	37	36
65	21	08	10	11	22	49	00		36	34	35	29	29
66	21	08	10	11	42	49	00		35	37	28	42	46
67	21	08	10	12	02	49	00		46	55	63	52	52
68	21	08	10	12	22	49	00		34	33	34	47	28
69	21	08	10	12	42	49	00		29	12	18	16	8
70	21	08	10	13	02	49	00		59	55	54	54	57
71	21	08	10	13	22	49	00		21	16	22	30	30
72	21	08	10	13	42	49	00		48	44	45	36	12
